Year,Revenue (Mio),Free Cash Flow (Mio),EPS,ROIC,EPS in 10 Years,Future Value,Fair Value MOS,MOS Price (50%),TEN CAP Buy Price,Fair Value TEN CAP,Growth Rate (%),Stock Price (12-31),Price Date Used
2013,22384.0,9166.0,7.05,-0.27 %,,,,,,,,,
2014,22290.0,8802.0,7.71,0.0 %,,,,,,,,,
2015,23413.0,9595.0,7.15,0.03 %,,,,,,,,,
2016,25501.0,11077.0,6.96,-0.02 %,,,,,,,,,
2017,27237.0,13164.0,3.52,-0.06 %,,,,,,,,,
2018,27461.0,12104.0,12.53,9.77 %,,,,,,,,,
2019,28593.0,15752.0,11.1,2.88 %,,,,,,,,,
2020,28523.0,15989.0,5.19,1.04 %,,,,,,,,,
2021,30435.0,11612.0,27.04,5.33 %,,,,,,,,,
2022,34250.0,12875.0,17.98,20.64 %,,,,,,,,,
2023,36787.0,19614.0,11.98,-0.0 %,,,,,,,,,
,,,,,,,,,,,,,
Book CAGR (avg),9.17 %,,,,,,,,,,,,
EPS CAGR (avg),7.56 %,,,,,,,,,,,,
Revenue/Share CAGR (avg),9.09 %,,,,,,,,,,,,
Cashflow/Share CAGR (avg),16.58 %,,,,,,,,,,,,
Avg Growth Rate,10.6 %,,,,,,,,,,,,
EPS in 10 Years,68.85,,,,,,,,,,,,
Future Value,1978.78,,,,,,,,,,,,
Fair Value MOS,489.12,,,,,,,,,,,,
MOS Price (50%),244.56,,,,,,,,,,,,
TEN CAP Buy Price,295.76,,,,,,,,,,,,
Fair Value TEN CAP,591.53,,,,,,,,,,,,
,,,,,,,,,,,,,
2018,,,12.53,,31.19,595.81,147.28,73.64,192.71,385.41,9.55,75.59,2018-12-31
2019,,,11.1,,30.4,644.48,159.31,79.65,207.17,414.35,10.6,102.91,2019-12-31
2020,,,5.19,,9.35,113.29,28.0,14.0,143.05,286.11,6.06,98.85,2020-12-31
2021,,,27.04,,85.8,2100.36,519.18,259.59,426.82,853.65,12.24,145.09,2021-12-31
2022,,,17.98,,68.85,1978.78,489.12,244.56,295.76,591.53,14.37,92.96,2022-12-30
