Year,Revenue (Mio),Free Cash Flow (Mio),EPS,ROIC,EPS in 10 Years,Future Value,Fair Value MOS,MOS Price (50%),TEN CAP Buy Price,Fair Value TEN CAP,Growth Rate (%),Stock Price (12-31),Price Date Used
2016,40549.5,2229.9,14.01,11.98 %,,,,,,,,,
2017,44009.5,2269.4,14.92,12.84 %,,,,,,,,,
2018,44404.4,1691.8,14.49,11.1 %,,,,,,,,,
2019,44478.4,1194.1,-5.85,-1.74 %,,,,,,,,,
2020,37722.3,587.9,-4.59,-1.14 %,,,,,,,,,
2021,33765.2,1076.6,7.18,5.76 %,,,,,,,,,
2022,39408.9,126.3,0.56,1.08 %,,,,,,,,,
2023,41420.5,1184.9,5.78,2.34 %,,,,,,,,,
2024,39719.0,996.0,5.84,2.12 %,,,,,,,,,
2025,0.0,0.0,0.0,–,,,,,,,,,
2026,0.0,0.0,0.0,–,,,,,,,,,
,,,,,,,,,,,,,
Book CAGR (avg),-3.35 %,,,,,,,,,,,,
EPS CAGR (avg),-48.13 %,,,,,,,,,,,,
Revenue/Share CAGR (avg),-2.18 %,,,,,,,,,,,,
Cashflow/Share CAGR (avg),-15.15 %,,,,,,,,,,,,
Avg Growth Rate,-17.21 %,,,,,,,,,,,,
EPS in 10 Years,0,,,,,,,,,,,,
Future Value,0,,,,,,,,,,,,
Fair Value MOS,0,,,,,,,,,,,,
MOS Price (50%),0,,,,,,,,,,,,
TEN CAP Buy Price,N/A,,,,,,,,,,,,
Fair Value TEN CAP,N/A,,,,,,,,,,,,
,,,,,,,,,,,,,
2021,,,7.18,,0.0,0.0,0.0,0.0,207.91,415.82,-7.22,93.11,2021-12-30
2022,,,0.56,,0.0,0.0,0.0,0.0,179.72,359.44,-17.21,55.98,2022-12-30
2023,,,5.78,,0.0,0.0,0.0,0.0,106.48,212.96,-7.75,76.92,2023-12-29
2024,,,5.84,,0.0,0.0,0.0,0.0,177.70,355.40,-2.87,64.82,2024-12-30
2025,,,0.0,,0.0,0.0,0.0,0.0,N/A,N/A,0.0,N/A,N/A
