Year,Revenue (Mio),Free Cash Flow (Mio),EPS,ROIC,EPS in 10 Years,Future Value,Fair Value MOS,MOS Price (50%),TEN CAP Buy Price,Fair Value TEN CAP,Growth Rate (%),Stock Price (12-31),Price Date Used
2011,1959.8,333.7,1.91,8.68 %,,,,,,,,,
2012,2073.0,430.3,2.27,7.39 %,,,,,,,,,
2013,2303.9,483.0,2.9,9.43 %,,,,,,,,,
2014,2436.4,529.8,3.03,9.82 %,,,,,,,,,
2015,2663.6,595.9,3.61,11.98 %,,,,,,,,,
2016,3144.9,617.5,4.1,9.28 %,,,,,,,,,
2017,3362.2,597.8,4.89,10.12 %,,,,,,,,,
2018,3412.1,350.3,2.49,6.08 %,,,,,,,,,
2019,3507.6,-85.8,-3.25,-4.45 %,,,,,,,,,
2020,4127.5,524.9,4.28,6.31 %,,,,,,,,,
2021,4923.9,865.8,6.11,9.37 %,,,,,,,,,
,,,,,,,,,,,,,
Book CAGR (avg),10.54 %,,,,,,,,,,,,
EPS CAGR (avg),16.59 %,,,,,,,,,,,,
Revenue/Share CAGR (avg),10.12 %,,,,,,,,,,,,
Cashflow/Share CAGR (avg),10.42 %,,,,,,,,,,,,
Avg Growth Rate,11.92 %,,,,,,,,,,,,
EPS in 10 Years,7.41,,,,,,,,,,,,
Future Value,83.57,,,,,,,,,,,,
Fair Value MOS,20.66,,,,,,,,,,,,
MOS Price (50%),10.33,,,,,,,,,,,,
TEN CAP Buy Price,64.21,,,,,,,,,,,,
Fair Value TEN CAP,128.42,,,,,,,,,,,,
,,,,,,,,,,,,,
2016,,,4.1,,13.73,352.97,87.25,43.62,71.89,143.79,12.85,118.23,2016-12-30
2017,,,4.89,,15.08,359.49,88.86,44.43,77.19,154.39,11.92,117.92,2017-12-29
2018,,,2.49,,3.62,27.58,6.82,3.41,39.36,78.71,3.81,93.13,2018-12-31
2019,,,-3.25,,0.0,0.0,0.0,0.0,-29.51,-59.02,-0.42,140.12,2019-12-31
2020,,,4.28,,7.41,83.57,20.66,10.33,64.21,128.42,5.64,192.84,2020-12-31
