Year,Revenue (Mio),Free Cash Flow (Mio),EPS,ROIC,EPS in 10 Years,Future Value,Fair Value MOS,MOS Price (50%),TEN CAP Buy Price,Fair Value TEN CAP,Growth Rate (%),Stock Price (12-31),Price Date Used
2016,6807.4,349.7,0.15,46.67 %,,,,,,,,,
2017,6948.1,387.9,0.16,42.55 %,,,,,,,,,
2018,6576.9,404.5,0.16,46.34 %,,,,,,,,,
2019,6765.0,406.3,0.17,38.2 %,,,,,,,,,
2020,6832.4,570.9,0.11,11.75 %,,,,,,,,,
2021,6984.4,463.1,0.16,15.25 %,,,,,,,,,
2022,7197.7,927.6,0.14,13.11 %,,,,,,,,,
2023,7460.1,216.3,0.19,16.51 %,,,,,,,,,
2024,8018.3,810.9,0.18,72.45 %,,,,,,,,,
2025,0.0,0.0,0.0,–,,,,,,,,,
2026,0.0,0.0,0.0,–,,,,,,,,,
,,,,,,,,,,,,,
Book CAGR (avg),-10.71 %,,,,,,,,,,,,
EPS CAGR (avg),-2.64 %,,,,,,,,,,,,
Revenue/Share CAGR (avg),0.71 %,,,,,,,,,,,,
Cashflow/Share CAGR (avg),19.6 %,,,,,,,,,,,,
Avg Growth Rate,1.74 %,,,,,,,,,,,,
EPS in 10 Years,0,,,,,,,,,,,,
Future Value,0,,,,,,,,,,,,
Fair Value MOS,0,,,,,,,,,,,,
MOS Price (50%),0,,,,,,,,,,,,
TEN CAP Buy Price,N/A,,,,,,,,,,,,
Fair Value TEN CAP,N/A,,,,,,,,,,,,
,,,,,,,,,,,,,
2021,,,0.16,,0.0,0.0,0.0,0.0,2.50,5.01,-0.26,3.35,2021-12-31
2022,,,0.14,,0.17,0.58,0.14,0.07,2.19,4.39,1.74,2.95,2022-12-30
2023,,,0.19,,0.0,0.0,0.0,0.0,2.78,5.56,-3.14,3.56,2023-12-29
2024,,,0.18,,0.24,1.45,0.36,0.18,2.84,5.68,3.0,3.79,2024-12-31
2025,,,0.0,,0.0,0.0,0.0,0.0,N/A,N/A,0.0,N/A,N/A
