Year,Revenue (Mio),Free Cash Flow (Mio),EPS,ROIC,EPS in 10 Years,Future Value,Fair Value MOS,MOS Price (50%),TEN CAP Buy Price,Fair Value TEN CAP,Growth Rate (%),Stock Price (12-31),Price Date Used
2015,32053.0,-1245.0,0.83,2.91 %,,,,,,,,,
2016,37490.0,-2535.0,1.71,4.41 %,,,,,,,,,
2017,40604.0,-7234.0,5.39,11.45 %,,,,,,,,,
2018,43310.0,-1769.0,3.4,6.13 %,,,,,,,,,
2019,44998.0,-534.0,4.05,5.33 %,,,,,,,,,
2020,68397.0,-3727.0,2.68,2.67 %,,,,,,,,,
2021,80118.0,-7775.0,2.42,3.22 %,,,,,,,,,
2022,79571.0,-520.0,2.07,2.68 %,,,,,,,,,
2023,78558.0,7748.0,7.02,5.53 %,,,,,,,,,
2024,81400.0,9982.0,9.7,7.07 %,,,,,,,,,
2025,0.0,0.0,0.0,–,,,,,,,,,
,,,,,,,,,,,,,
Book CAGR (avg),20.1 %,,,,,,,,,,,,
EPS CAGR (avg),7.19 %,,,,,,,,,,,,
Revenue/Share CAGR (avg),7.1 %,,,,,,,,,,,,
Cashflow/Share CAGR (avg),8.39 %,,,,,,,,,,,,
Avg Growth Rate,10.7 %,,,,,,,,,,,,
EPS in 10 Years,33.93,,,,,,,,,,,,
Future Value,905.29,,,,,,,,,,,,
Fair Value MOS,223.77,,,,,,,,,,,,
MOS Price (50%),111.89,,,,,,,,,,,,
TEN CAP Buy Price,152.79,,,,,,,,,,,,
Fair Value TEN CAP,305.59,,,,,,,,,,,,
,,,,,,,,,,,,,
2020,,,2.68,,10.97,332.32,82.14,41.07,-14.25,-28.50,15.14,134.85,2020-12-31
2021,,,2.42,,6.69,143.12,35.38,17.69,49.81,99.62,10.7,115.98,2021-12-31
2022,,,2.07,,4.02,55.01,13.6,6.8,24.98,49.95,6.85,140.0,2022-12-30
2023,,,7.02,,29.81,927.8,229.34,114.67,103.34,206.69,15.56,160.33,2023-12-29
2024,,,9.7,,33.93,905.29,223.77,111.89,152.79,305.59,13.34,220.73,2024-12-31
